@relation 'bad_mem_access_and_false_sharing-weka.filters.unsupervised.attribute.Remove-R3-8,10-13,15'

@attribute r0149 numeric
@attribute r0151 numeric
@attribute r20f0 numeric
@attribute r04b8 numeric
@attribute status {good,badfs,badma}

@data
747.836684,4254.16216,445.271514,69.918986,good
1143.082668,3361.577756,391.090547,60.551114,good
986.312452,5697.116853,2672.670598,614.427624,good
3120.739516,3591513.9117,4172448.76942,1988126.64516,badfs
899.98751,5734.574323,2836.823349,620.178885,good
4737.812303,4238954.14932,5078406.91648,2338821.69985,badfs
1173.740484,145235.717242,230919.139867,65261.552211,good
8004.787992,4382971.61484,5308339.03691,2365022.42733,badfs
1904.655302,1203651.42205,1809560.38191,592506.05005,good
9347.106497,4428405.50007,5359495.64783,2394704.5403,badfs
722.758365,3557.457632,420.261346,71.112423,good
1303.213496,3122.591906,455.784737,60.880299,good
977.349144,5048.433394,2598.621304,680.423208,good
4017.258762,3500997.07426,4088861.12019,1935942.13965,badfs
854.837032,4585.348613,2648.454881,459.691245,good
4655.359181,4241739.72191,5087838.02999,2343280.36035,badfs
1167.031546,150515.897264,312725.907072,76996.263046,good
7845.181732,4375243.32811,5304475.018,2366674.32689,badfs
1170.966809,1004897.14127,1644396.23873,487375.829149,good
14006.71922,4444706.87324,5382234.73657,2401787.38935,badfs
721.093997,3392.906081,345.195161,76.578396,good
1226.318385,2851.932049,509.368443,75.604566,good
806.824784,4811.317721,2523.10531,634.888108,good
2556.382624,3476326.78673,4071337.77153,1949207.13598,badfs
730.315683,4313.660428,2465.866437,502.036741,good
5793.407706,4243577.6719,5085736.3522,2340288.56268,badfs
697.409895,104263.579548,206329.069338,48688.029288,good
7062.725563,4371867.08551,5298330.21227,2370420.75077,badfs
1125.079686,781045.780808,1292321.8974,376701.297404,good
11420.190457,4452285.75803,5395937.76278,2408805.28947,badfs
1289.767639,3350.853438,414.097814,61.606034,good
769.176961,3336.802356,380.208561,80.388931,good
612.460973,4516.082897,2461.400921,634.782768,good
2934.882459,3513442.75678,4093639.11695,1954419.08093,badfs
773.255644,4293.708709,2347.962692,532.387359,good
5970.715506,4238632.4396,5086879.93986,2336869.05741,badfs
717.123158,132567.509499,236819.961829,61314.896882,good
7960.989687,4386128.7431,5312570.07513,2365140.7152,badfs
1278.707297,991616.901078,1682470.57864,482645.161506,good
12043.084871,4443817.66092,5381027.49652,2400593.4609,badfs
30015.51304,127896.437171,12222.129504,657.957972,good
17014.531658,81285.515355,6139.938184,560.950565,good
34569.121163,161466.731499,26380.195599,2138.341421,good
30701.124576,5694095.57272,10086075.0582,5357215.70643,badfs
34506.398325,218685.606205,17096.380992,2509.090733,good
43434.784463,6230526.2371,12014949.2832,5914962.68283,badfs
39006.432536,206004.448683,7899.869093,1748.404156,good
55560.891639,8065247.9001,14929373.1098,5642918.68985,badfs
78129.698297,354521.575572,6922.338144,3558.826055,good
55795.632208,9282132.88077,15752104.801,5439981.22731,badfs
15265.437353,67066.310266,5568.492427,460.407132,good
10528.621187,44053.459973,2420.504077,285.773799,good
18686.256201,82897.839891,10047.065851,1539.518392,good
21128.793744,5741989.82435,10256613.8726,5130407.25921,badfs
19043.347564,95786.278431,14155.323936,1591.300732,good
20024.294601,6283109.87709,11339899.2973,5834863.168,badfs
24463.972176,113752.359387,22747.67415,1157.828637,good
30530.591386,7862773.23086,14088120.8337,5724126.4833,badfs
36121.46919,143299.141734,20899.788128,2308.39485,good
32730.516487,9665407.08672,15593313.0044,5332182.32877,badfs
6786.76862,31416.940967,2139.34675,423.696581,good
4484.065301,19886.782057,3253.750064,226.235058,good
7846.887767,41674.519819,7152.692325,1302.016336,good
9920.637873,5296029.17555,9511819.53337,4787226.67493,badfs
10164.917694,75306.63972,14001.629405,1166.047327,good
14638.399163,6157667.08933,11590387.9855,5878066.89996,badfs
12859.43335,54723.459171,7137.602519,1141.764079,good
15824.345628,7802674.88646,14136273.5031,5727397.11206,badfs
12886.900441,61351.917289,6985.062889,1004.594235,good
20953.316585,9454755.62372,15588936.6941,5365208.55911,badfs
4112.852529,20199.695679,1945.492886,192.204355,good
2834.898485,12926.621916,1561.412285,156.699336,good
5230.769501,25236.517048,7843.546489,1295.857147,good
7936.41479,5146267.7445,9503529.46836,4697829.14622,badfs
5252.021372,28821.337015,6730.377014,1178.845668,good
14714.548305,6080254.88139,11401638.443,5806205.98946,badfs
5365.164866,47774.836542,9158.827383,1400.350617,good
14865.269486,7726400.78283,13971823.5051,5703024.27881,badfs
7652.747032,35353.612031,11604.794445,1077.204831,good
19655.163725,9435701.2699,15518835.4983,5312584.39615,badfs
3760.437559,13279.66746,1524.910119,254.285117,good
2677.254681,9192.236463,857.115968,200.736931,good
3551.32556,21939.839431,7144.896704,1531.127764,good
